query; baselineQuery; nlQuery; mlQuery
"SELECT pt.""person_id"", t.""release_date_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE p.""profession_id"" <= '42' AND t.""runtime_minutes"" IS NULL;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns person_id and release_date_id. Only return the data for which profession_id is smaller or equal than '42', runtime_minutes undefined is true.   ;Find the person-ids and the release year ids for all titles [MASK] the profession-id is smaller or the same as '42', the runtime undefined. ;
"SELECT t.""runtime_minutes"" FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" WHERE t.""vote_amount"" IS NULL AND t.""average_rating"" IS NULL OR y.""year_id"" BETWEEN '301' AND '146';";Form the intersection that contains the corresponding entries of the tables title and year. Return the column runtime_minutes. Only return the data for which vote_amount undefined, average_rating undefined, year_id is is between 301 and 146 is true.   ;Find the runtime for all titles [MASK] the number of votes undefined, the average rating undefined, the year-id is between 301 and 146. ;
"SELECT t.""runtime_minutes"", lo.""title_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" INNER JOIN imdb2.""language"" as l ON lo.""language_id"" = l.""language_id"" WHERE t.""average_rating"" BETWEEN '4.3' AND '4.2' OR tn.""title_name_id"" <= '16' AND lo.""localization_id"" BETWEEN '179' AND '388';";Form the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization and the intersection that contains the corresponding entries of the tables localization and language. Return the columns runtime_minutes and title_id. Only return the data for which average_rating is is between 4.3 and 4.2, title_name_id is smaller or equal than '16', localization_id is is between 179 and 388 is true.   ;Find the runtime and the title-ids for all titles [MASK] the average rating is between 4.3 and 4.2, the title-name-id is smaller or the same as '16', the localization-id is between 179 and 388. ;
"SELECT t.""runtime_minutes"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE t.""format_id"" = '7' AND t.""vote_amount"" > '213';";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the column runtime_minutes. Only return the data for which format_id equals '7', vote_amount is greater than '213' is true.   ;Find the runtime for all titles [MASK] the format-id is '7', the number of votes is larger than '213'. ;
"SELECT p.""profession"", p.""profession_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE t.""title_id"" >= '376';";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns profession and profession_id. Only return the data for which title_id is greater or equal than '376' is true.   ;Find the professions and the profession-ids for all titles [MASK] the title-id is greater or the same as '376'. ;
"SELECT t.""title_id"", y.""year"" FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" WHERE t.""format_id"" BETWEEN '7' AND 'undefined' AND t.""is_adult"" = 'false' AND y.""year_id"" >= '105';";Form the intersection that contains the corresponding entries of the tables title and year. Return the columns title_id and year. Only return the data for which format_id is is between 7 and undefined, is_adult equals 'false', year_id is greater or equal than '105' is true.   ;Find the title-ids and the years for all titles [MASK] the format-id is between 7 and undefined, the wether or not the title is rated adult is 'false', the year-id is greater or the same as '105'. ;
"SELECT t.""average_rating"", t.""runtime_minutes"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE p.""profession"" LIKE '%de%' AND pt.""person_id"" > '742777' OR t.""title_id"" > '341';";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns average_rating and runtime_minutes. Only return the data for which person_id is greater than '742777' and title_id is greater than '341' is true and profession starts with 'de'.   ;Find the average ratings and the runtime for all titles [MASK]the person-id is larger than '742777' and the title-id is larger than '341'  and the profession starts with  'de'. ;
"SELECT t.""average_rating"", t.""title_name_id"", t.""vote_amount"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE t.""is_adult"" = 'true' AND tn.""title_name"" LIKE '%rry Christm%';";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and title_name. Return the columns average_rating, title_name_id and vote_amount. Only return the data for which is_adult equals 'true' is true and title_name starts with 'rry Christm'.   ;Find the average ratings, the title-name-ids and the number of votes for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and [MASK] corresponding title_name [MASK] [MASK]the wether or not the title is rated adult is 'true'  and the name of title starts with  'rry Christm'. ;
"SELECT t.""title_name_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE t.""release_date_id"" = '548';";Form the intersection that contains the corresponding entries of the tables title and format. Return the column title_name_id. Only return the data for which release_date_id equals '548' is true.   ;Find the title-name-ids for all titles [MASK] the release year id is '548'. ;
"SELECT g.""genre_id"" FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" WHERE tg.""genre_id"" = '15';";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title and the intersection that contains the corresponding entries of the tables title and year. Return the column genre_id. Only return the data for which genre_id equals '15' is true.   ;Find the genre-ids for all titles [MASK] the genre-id is '15'. ;
"SELECT pe.""person_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" INNER JOIN imdb2.""name"" as n ON pe.""name_id"" = n.""name_id"" WHERE t.""is_adult"" = 'true' AND t.""title_id"" BETWEEN '1' AND '320' AND t.""release_date_id"" > '560';";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person and the intersection that contains the corresponding entries of the tables person and name. Return the column person_id. Only return the data for which is_adult equals 'true', title_id is is between 1 and 320, release_date_id is greater than '560' is true.   ;Find the person-ids for all title and [MASK] corresponding year and year and [MASK] corresponding person and person and [MASK] corresponding name [MASK] [MASK] the wether or not the title is rated adult is 'true', the title-id is between 1 and 320, the release year id is larger than '560'. ;
"SELECT t.""release_date_id"" FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE f.""format"" <> 'tvPilot';";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title and the intersection that contains the corresponding entries of the tables title and format. Return the column release_date_id. Only return the data for which format doesn't equal 'tvPilot' is true.   ;Find the release year ids for all titles [MASK] the format is not 'tvPilot'. ;
"SELECT t.""title_id"", pp.""person_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" INNER JOIN imdb2.""person_profession"" as pp ON pe.""person_id"" = pp.""person_id"" INNER JOIN imdb2.""profession"" as p ON pp.""profession_id"" = p.""profession_id"" WHERE t.""title_id"" <> '344' OR t.""release_date_id"" <= '110';";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person and the intersection that contains the corresponding entries of the tables person and person_profession and the intersection that contains the corresponding entries of the tables person_profession and profession. Return the columns title_id and person_id. Only return the data for which title_id doesn't equal '344', release_date_id is smaller or equal than '110' is true.   ;Find the title-ids and the person-ids for all title and [MASK] corresponding year and year and [MASK] corresponding person and person and profession [MASK] [MASK] the title-id is not '344', the release year id is smaller or the same as '110'. ;
"SELECT lo.""title_name_id"" FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" INNER JOIN imdb2.""language"" as l ON lo.""language_id"" = l.""language_id"" WHERE t.""vote_amount"" > '90' AND t.""release_date_id"" > '538' OR lo.""title_name_id"" IS NOT NULL;";Form the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization and the intersection that contains the corresponding entries of the tables localization and language. Return the column title_name_id. Only return the data for which vote_amount is greater than '90', release_date_id is greater than '538', title_name_id undefined is true.   ;Find the title-name-ids for all titles [MASK] the number of votes is larger than '90', the release year id is larger than '538', the title-name-id undefined. ;
"SELECT t.""title_name_id"", t.""vote_amount"" FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" WHERE t.""is_adult"" = 'false' OR tn.""title_name_id"" BETWEEN '260' AND '228';";Form the intersection that contains the corresponding entries of the tables title and title_name. Return the columns title_name_id and vote_amount. Only return the data for which is_adult equals 'false', title_name_id is is between 260 and 228 is true.   ;Find the title-name-ids and the number of votes for all titles [MASK] the wether or not the title is rated adult is 'false', the title-name-id is between 260 and 228. ;
"SELECT pe.""birthyear_id"", y.""year"", f.""format_id"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""year"" as y ON pe.""birthyear_id"" = y.""year_id"" INNER JOIN imdb2.""title"" as t ON y.""year_id"" = t.""release_date_id"" INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE pe.""person_id"" <> '185' AND y.""year_id"" = '142' AND f.""format_id"" BETWEEN '10' AND 'undefined';";Form the intersection that contains the corresponding entries of the tables person and year and the intersection that contains the corresponding entries of the tables year and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns birthyear_id, year and format_id. Only return the data for which person_id doesn't equal '185', year_id equals '142', format_id is is between 10 and undefined is true.   ;Find the birthyear-ids, the years and the format-ids for all person and [MASK] corresponding year and year and [MASK] corresponding title and title and [MASK] corresponding format [MASK] [MASK] the person-id is not '185', the year-id is '142', the format-id is between 10 and undefined. ;
"SELECT t.""title_name_id"", t.""is_adult"", t.""release_date_id"" FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" WHERE t.""average_rating"" IS NULL AND y.""year"" = '1900' AND pe.""birthyear_id"" >= '377';";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title and the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person. Return the columns title_name_id, is_adult and release_date_id. Only return the data for which average_rating undefined, year equals '1900', birthyear_id is greater or equal than '377' is true.   ;Find the title-name-ids, the wether or not the title is rated adult and the release year ids for all genre and title and title and [MASK] corresponding year and year and [MASK] corresponding person [MASK] [MASK] the average rating undefined, the year is '1900', the birthyear-id is greater or the same as '377'. ;
"SELECT lo.""region_id"", l.""language"" FROM imdb2.""title"" as t INNER JOIN imdb2.""title_name"" as tn ON t.""title_name_id"" = tn.""title_name_id"" INNER JOIN imdb2.""localization"" as lo ON tn.""title_name_id"" = lo.""title_name_id"" INNER JOIN imdb2.""language"" as l ON lo.""language_id"" = l.""language_id"" WHERE tn.""title_name_id"" > '396' AND lo.""localization_id"" <= '441' OR l.""language_id"" <> '55';";Form the intersection that contains the corresponding entries of the tables title and title_name and the intersection that contains the corresponding entries of the tables title_name and localization and the intersection that contains the corresponding entries of the tables localization and language. Return the columns region_id and language. Only return the data for which title_name_id is greater than '396', localization_id is smaller or equal than '441', language_id doesn't equal '55' is true.   ;Find the region-ids and the languages for all titles [MASK] the title-name-id is larger than '396', the localization-id is smaller or the same as '441', the language-id is not '55'. ;
"SELECT pt.""title_id"", t.""vote_amount"", t.""format_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE p.""profession_id"" BETWEEN '28' AND '0' OR t.""release_date_id"" BETWEEN '110' AND '560' AND t.""vote_amount"" IS NULL AND t.""format_id"" <> '7';";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns title_id, vote_amount and format_id. Only return the data for which profession_id is is between 28 and 0, release_date_id is is between 110 and 560, vote_amount undefined, format_id doesn't equal '7' is true.   ;Find the title-ids, the number of votes and the format-ids for all titles [MASK] the profession-id is between 28 and 0, the release year id is between 110 and 560, the number of votes undefined, the format-id is not '7'. ;
"SELECT t.""is_adult"" FROM imdb2.""title"" as t INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" INNER JOIN imdb2.""person"" as pe ON y.""year_id"" = pe.""birthyear_id"" INNER JOIN imdb2.""person_profession"" as pp ON pe.""person_id"" = pp.""person_id"" INNER JOIN imdb2.""profession"" as p ON pp.""profession_id"" = p.""profession_id"" WHERE t.""vote_amount"" IS NOT NULL OR t.""title_id"" = '129' AND y.""year_id"" >= '319';";Form the intersection that contains the corresponding entries of the tables title and year and the intersection that contains the corresponding entries of the tables year and person and the intersection that contains the corresponding entries of the tables person and person_profession and the intersection that contains the corresponding entries of the tables person_profession and profession. Return the column is_adult. Only return the data for which vote_amount undefined, title_id equals '129', year_id is greater or equal than '319' is true.   ;Find the wether or not the title is rated adult for all title and [MASK] corresponding year and year and [MASK] corresponding person and person and profession [MASK] [MASK] the number of votes undefined, the title-id is '129', the year-id is greater or the same as '319'. ;
"SELECT t.""release_date_id"" FROM imdb2.""genre"" as g INNER JOIN imdb2.""title_genre"" as tg ON g.""genre_id"" = tg.""genre_id"" INNER JOIN imdb2.""title"" as t ON tg.""title_id"" = t.""title_id"" WHERE g.""genre_id"" <= '16' OR tg.""title_id"" <= '247' OR tg.""genre_id"" < '25' OR t.""is_adult"" = 'true' ORDER BY g.""genre_id"" DESC;";Form the intersection that contains the corresponding entries of the tables genre and title_genre and the intersection that contains the corresponding entries of the tables title_genre and title. Return the column release_date_id. Only return the data for which genre_id is smaller or equal than '16', title_id is smaller or equal than '247', genre_id is smaller than '25', is_adult equals 'true' is true.   Sort the result descending by genre_id.;Find the release year ids for all titles [MASK] the genre-id is smaller or the same as '16', the title-id is smaller or the same as '247', the genre-id is smaller than '25', the wether or not the title is rated adult is 'true'. Sort the result by the genre-id in descending order.;
"SELECT COUNT(p.""profession""), COUNT(t.""is_adult"") FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" WHERE pt.""profession_id"" <> '2' OR t.""title_name_id"" > '475371' GROUP BY t.""format_id"", p.""profession"" HAVING COUNT(p.""profession"") BETWEEN 'composer' AND 'editorial_department' ORDER BY t.""format_id"" ASC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title. Return the columns the amount of profession and the amount of is_adult. Only return the data for which profession_id doesn't equal '2', title_name_id is greater than '475371' is true. A further constraint is the amount of profession is between composer and editorial_department . Group the result by format_id and profession. Sort the result ascending by format_id.;Find the count of profession and the count of is_adult for all titles [MASK] the profession-id is not '2', the title-name-id is larger than '475371'.  the count of profession is between composer and editorial_department .Sort the result by the format-id in ascending order.;
"SELECT COUNT(pt.""title_id""), COUNT(f.""format_id"") FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""format"" as f ON t.""format_id"" = f.""format_id"" WHERE p.""profession"" NOT LIKE '%re%' AND pt.""profession_id"" >= '2' OR t.""is_adult"" = 'true' GROUP BY t.""runtime_minutes"", f.""format_id"" HAVING COUNT(f.""format_id"") > '7' ORDER BY t.""runtime_minutes"" ASC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and format. Return the columns the amount of title_id and the amount of format_id. Only return the data for which profession_id is greater or equal than '2' and is_adult equals 'true' is true and profession doesn't start with're'. A further constraint is the amount of format_id is greater than '7' . Group the result by runtime_minutes and format_id. Sort the result ascending by runtime_minutes.;Find the count of title_id and the count of format_id for all titles [MASK]the profession-id is greater or the same as '2' and the wether or not the title is rated adult is 'true'  and the profession doesn't start with  're'.  the count of format_id is larger than '7' .Sort the result by the runtime in ascending order.;
"SELECT COUNT(pe.""name_id""), n.""name_id"" FROM imdb2.""person"" as pe INNER JOIN imdb2.""name"" as n ON pe.""name_id"" = n.""name_id"" WHERE pe.""deathhyear_id"" IS NULL AND n.""name"" LIKE '%ia Alloggiam%' GROUP BY n.""name_id"", pe.""name_id"" HAVING COUNT(pe.""name_id"") >= '2728723' ORDER BY pe.""name_id"" DESC;";Form the intersection that contains the corresponding entries of the tables person and name. Return the columns the amount of name_id and name_id. Only return the data for which deathhyear_id undefined is true and name starts with 'ia Alloggiam'. A further constraint is the amount of name_id is greater or equal than '2728723' . Group the result by name_id and name_id. Sort the result descending by name_id.;Find the count of name_id and the name-ids for all persons [MASK]the deathyear-id undefined  and the name starts with  'ia Alloggiam'.  the count of name_id is greater or the same as '2728723' .Sort the result by the name-id in descending order.;
"SELECT t.""release_date_id"" FROM imdb2.""profession"" as p INNER JOIN imdb2.""person_title"" as pt ON p.""profession_id"" = pt.""profession_id"" INNER JOIN imdb2.""title"" as t ON pt.""title_id"" = t.""title_id"" INNER JOIN imdb2.""year"" as y ON t.""release_date_id"" = y.""year_id"" WHERE t.""title_id"" > '409' OR t.""is_adult"" = 'true' ORDER BY y.""year"" ASC;";Form the intersection that contains the corresponding entries of the tables profession and person_title and the intersection that contains the corresponding entries of the tables person_title and title and the intersection that contains the corresponding entries of the tables title and year. Return the column release_date_id. Only return the data for which title_id is greater than '409', is_adult equals 'true' is true.   Sort the result ascending by year.;Find the release year ids for all titles [MASK] the title-id is larger than '409', the wether or not the title is rated adult is 'true'. Sort the result by the year in ascending order.;
